Connecting to CAN-Bus interface: can0
Loading RVC Spec file rvc-spec.yml.
Processing start...
1670872718.315441 19FFFC42 (8) DGN: 1FFFC, Prio: 6, srcAD: 02, Data: 01, 64, FF, FF, C8, FF, FF, FF
1670872718.355439 19FEE842 (8) DGN: 1FEE8, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, FF, FF, FF
1670872718.395451 19FF8F42 (8) DGN: 1FF8F, Prio: 6, srcAD: 02, Data: 41, 00, FF, FF, FF, FF, FF, FF
1670872718.435459 19FFD542 (8) DGN: 1FFD5, Prio: 6, srcAD: 02, Data: 41, C0, 00, 00, 1F, 00, FF, FF
1670872718.475450 19FFD742 (8) DGN: 1FFD7, Prio: 6, srcAD: 02, Data: 41, 6C, 09, 05, 7D, F3, 1D, FF
1670872718.515419 19FEBD42 (8) DGN: 1FEBD, Prio: 6, srcAD: 02, Data: 01, 20, 27, FF, FF, FF, FF, FF
1670872718.555440 19FFD442 (8) DGN: 1FFD4, Prio: 6, srcAD: 02, Data: 01, 02, F0, FF, FF, FF, FF, FF
1670872718.595471 19FFC742 (8) DGN: 1FFC7, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, 00, 06, FF
1670872718.635415 19FFC842 (8) DGN: 1FFC8, Prio: 6, srcAD: 02, Data: 01, FC, FF, FF, FF, FF, 00, FF
1670872718.675437 19FFCA42 (8) DGN: 1FFCA, Prio: 6, srcAD: 02, Data: 01, 6C, 09, 14, 7D, F3, 1D, FF
1670872718.755368 18EEFF42 (8) DGN: 0EEFF, Prio: 6, srcAD: 02, Data: ED, 5F, E4, 0E, 08, 81, 3C, 80
1670872718.815425 19FFFC42 (8) DGN: 1FFFC, Prio: 6, srcAD: 02, Data: 01, 64, FF, FF, C8, FF, FF, FF
1670872718.855422 19FEE842 (8) DGN: 1FEE8, Prio: 6, srcAD: 02, Data: 01, 0F, 01, 00, 7D, FF, FF, FF
1670872718.895436 19FF8F42 (8) DGN: 1FF8F, Prio: 6, srcAD: 02, Data: 41, 00, FF, FF, FF, FF, FF, FF
1670872718.935424 19FFD542 (8) DGN: 1FFD5, Prio: 6, srcAD: 02, Data: 41, C0, 00, 00, 1F, 00, FF, FF
1670872718.975416 19FFD742 (8) DGN: 1FFD7, Prio: 6, srcAD: 02, Data: 41, 6C, 09, 05, 7D, F3, 1D, FF
1670872719.015397 19FEBD42 (8) DGN: 1FEBD, Prio: 6, srcAD: 02, Data: 01, 20, 27, FF, FF, FF, FF, FF
1670872719.135406 19FFC842 (8) DGN: 1FFC8, Prio: 6, srcAD: 02, Data: 01, FC, FF, FF, FF, FF, 00, FF
